Urea (Ton),,,,,
"Kode Provinsi 
Kemendagri",Provinsi,Tahun,Alokasi/Realisasi,Ton,
11,Aceh,2018,Alokasi,"80,687.00",
12,Sumatera Utara,2018,Alokasi,"168,732.00",
13,Sumatera Barat,2018,Alokasi,"66,943.00",
14,Riau,2018,Alokasi,"43,814.00",
15,Jambi,2018,Alokasi,"31,564.00",
16,Sumatera Selatan,2018,Alokasi,"149,356.00",
17,Bengkulu,2018,Alokasi,"21,820.00",
18,Lampung,2018,Alokasi,"273,415.00",
19,Kep. Bangka Belitung,2018,Alokasi,"26,193.00",
21,Kepulauan Riau,2018,Alokasi,90.00,
31,DKI Jakarta,2018,Alokasi,40.00,
32,Jawa Barat,2018,Alokasi,"544,532.00",
33,Jawa Tengah,2018,Alokasi,"768,603.00",
34,D.I. Yogyakarta,2018,Alokasi,"39,000.00",
35,Jawa Timur,2018,Alokasi,"1,124,375.00",
36,Banten,2018,Alokasi,"65,390.00",
51,Bali,2018,Alokasi,"37,030.00",
52,Nusa Tenggara Barat,2018,Alokasi,"179,815.00",
53,Nusa Tenggara Timur,2018,Alokasi,"28,615.00",
61,Kalimantan Barat,2018,Alokasi,"39,000.00",
62,Kalimantan Tengah,2018,Alokasi,"17,684.00",
63,Kalimantan Selatan,2018,Alokasi,"39,539.00",
64,Kalimantan Timur,2018,Alokasi,"19,035.00",
65,Kalimantan Utara,2018,Alokasi,"1,525.00",
71,Sulawesi Utara,2018,Alokasi,"22,467.00",
72,Sulawesi Tengah,2018,Alokasi,"37,292.00",
73,Sulawesi Selatan,2018,Alokasi,"317,414.00",
74,Sulawesi Tenggara,2018,Alokasi,"23,674.00",
75,Gorontalo,2018,Alokasi,"37,736.00",
76,Sulawesi Barat,2018,Alokasi,"30,640.00",
81,Maluku,2018,Alokasi,"3,416.00",
82,Maluku Utara,2018,Alokasi,"1,301.00",
91,Papua,2018,Alokasi,"8,003.00",
92,Papua Barat,2018,Alokasi,"1,260.00",
11,Aceh,2018,Realisasi,"80,684.55",
12,Sumatera Utara,2018,Realisasi,"168,726.45",
13,Sumatera Barat,2018,Realisasi,"64,421.70",
14,Riau,2018,Realisasi,"38,402.95",
15,Jambi,2018,Realisasi,"28,377.95",
16,Sumatera Selatan,2018,Realisasi,"146,423.90",
17,Bengkulu,2018,Realisasi,"21,669.90",
18,Lampung,2018,Realisasi,"272,812.95",
19,Kep. Bangka Belitung,2018,Realisasi,"26,109.00",
21,Kepulauan Riau,2018,Realisasi,84.60,
31,DKI Jakarta,2018,Realisasi,13.50,
32,Jawa Barat,2018,Realisasi,"497,390.98",
33,Jawa Tengah,2018,Realisasi,"725,792.24",
34,D.I. Yogyakarta,2018,Realisasi,"36,728.41",
35,Jawa Timur,2018,Realisasi,"1,085,002.75",
36,Banten,2018,Realisasi,"55,345.15",
51,Bali,2018,Realisasi,"36,826.60",
52,Nusa Tenggara Barat,2018,Realisasi,"179,726.00",
53,Nusa Tenggara Timur,2018,Realisasi,"28,375.50",
61,Kalimantan Barat,2018,Realisasi,"35,294.60",
62,Kalimantan Tengah,2018,Realisasi,"16,580.25",
63,Kalimantan Selatan,2018,Realisasi,"38,882.10",
64,Kalimantan Timur,2018,Realisasi,"17,563.35",
65,Kalimantan Utara,2018,Realisasi,"1,142.50",
71,Sulawesi Utara,2018,Realisasi,"20,753.85",
72,Sulawesi Tengah,2018,Realisasi,"37,021.10",
73,Sulawesi Selatan,2018,Realisasi,"317,295.50",
74,Sulawesi Tenggara,2018,Realisasi,"23,424.00",
75,Gorontalo,2018,Realisasi,"37,415.95",
76,Sulawesi Barat,2018,Realisasi,"30,640.00",
81,Maluku,2018,Realisasi,"3,359.55",
82,Maluku Utara,2018,Realisasi,"1,010.00",
91,Papua,2018,Realisasi,"7,803.90",
92,Papua Barat,2018,Realisasi,"1,043.00",
11,Aceh,2019,Alokasi,"55,900.00",
12,Sumatera Utara,2019,Alokasi,"115,750.00",
13,Sumatera Barat,2019,Alokasi,"51,000.00",
14,Riau,2019,Alokasi,"29,941.00",
15,Jambi,2019,Alokasi,"18,700.00",
16,Sumatera Selatan,2019,Alokasi,"110,626.00",
17,Bengkulu,2019,Alokasi,"18,233.00",
18,Lampung,2019,Alokasi,"255,377.00",
19,Kep. Bangka Belitung,2019,Alokasi,"23,343.00",
21,Kepulauan Riau,2019,Alokasi,40.00,
31,DKI Jakarta,2019,Alokasi,6.00,
32,Jawa Barat,2019,Alokasi,"531,043.00",
33,Jawa Tengah,2019,Alokasi,"686,293.00",
34,D.I. Yogyakarta,2019,Alokasi,"31,290.00",
35,Jawa Timur,2019,Alokasi,"1,066,044.00",
36,Banten,2019,Alokasi,"64,094.00",
51,Bali,2019,Alokasi,"31,425.00",
52,Nusa Tenggara Barat,2019,Alokasi,"161,234.00",
53,Nusa Tenggara Timur,2019,Alokasi,"28,166.00",
61,Kalimantan Barat,2019,Alokasi,"21,508.00",
62,Kalimantan Tengah,2019,Alokasi,"16,063.00",
63,Kalimantan Selatan,2019,Alokasi,"38,469.00",
64,Kalimantan Timur,2019,Alokasi,"14,422.00",
65,Kalimantan Utara,2019,Alokasi,"1,568.00",
71,Sulawesi Utara,2019,Alokasi,"21,506.00",
72,Sulawesi Tengah,2019,Alokasi,"34,627.00",
73,Sulawesi Selatan,2019,Alokasi,"297,572.00",
74,Sulawesi Tenggara,2019,Alokasi,"23,967.00",
75,Gorontalo,2019,Alokasi,"34,515.00",
76,Sulawesi Barat,2019,Alokasi,"29,651.00",
81,Maluku,2019,Alokasi,"3,127.00",
82,Maluku Utara,2019,Alokasi,"1,018.00",
91,Papua,2019,Alokasi,"7,482.00",
92,Papua Barat,2019,Alokasi,"1,000.00",
11,Aceh,2019,Realisasi,"55,900.00",
12,Sumatera Utara,2019,Realisasi,"115,745.75",
13,Sumatera Barat,2019,Realisasi,"50,873.90",
14,Riau,2019,Realisasi,"29,920.85",
15,Jambi,2019,Realisasi,"18,692.20",
16,Sumatera Selatan,2019,Realisasi,"110,408.10",
17,Bengkulu,2019,Realisasi,"18,233.00",
18,Lampung,2019,Realisasi,"246,901.40",
19,Kep. Bangka Belitung,2019,Realisasi,"23,343.00",
21,Kepulauan Riau,2019,Realisasi,39.60,
31,DKI Jakarta,2019,Realisasi,5.00,
32,Jawa Barat,2019,Realisasi,"460,263.75",
33,Jawa Tengah,2019,Realisasi,"682,609.84",
34,D.I. Yogyakarta,2019,Realisasi,"31,289.99",
35,Jawa Timur,2019,Realisasi,"1,041,285.55",
36,Banten,2019,Realisasi,"49,547.70",
51,Bali,2019,Realisasi,"31,293.20",
52,Nusa Tenggara Barat,2019,Realisasi,"161,029.35",
53,Nusa Tenggara Timur,2019,Realisasi,"27,014.50",
61,Kalimantan Barat,2019,Realisasi,"21,507.85",
62,Kalimantan Tengah,2019,Realisasi,"15,594.90",
63,Kalimantan Selatan,2019,Realisasi,"35,122.45",
64,Kalimantan Timur,2019,Realisasi,"13,770.15",
65,Kalimantan Utara,2019,Realisasi,"1,510.20",
71,Sulawesi Utara,2019,Realisasi,"20,129.10",
72,Sulawesi Tengah,2019,Realisasi,"34,391.65",
73,Sulawesi Selatan,2019,Realisasi,"297,528.60",
74,Sulawesi Tenggara,2019,Realisasi,"23,902.00",
75,Gorontalo,2019,Realisasi,"34,515.00",
76,Sulawesi Barat,2019,Realisasi,"29,650.50",
81,Maluku,2019,Realisasi,"2,768.10",
82,Maluku Utara,2019,Realisasi,874.00,
