Kode Wilayah,Nama Wilayah,Curah Hujan (mm),Kelembapan Udara,Kecepatan angin (m/det),,,,,,,,,,,,,,,,,,,
11,Aceh,"2293,40","76,30","4,10",,,,,,,,,,,,,,,,,,,
12,Sumatera Utara,"2543,40","76,90","3,30",,,,,,,,,,,,,,,,,,,
13,Sumatera Barat,"5332,30","81,30","2,10",,,,,,,,,,,,,,,,,,,
14,Riau,"3111,70","80,00","2,70",,,,,,,,,,,,,,,,,,,
15,Jambi,"3218,40","85,90","1,40",,,,,,,,,,,,,,,,,,,
16,Sumatera Selatan,"2598,20","78,50","2,90",,,,,,,,,,,,,,,,,,,
17,Bengkulu,"3658,10","76,80","5,00",,,,,,,,,,,,,,,,,,,
18,Lampung,"2110,5","81,70","2,90",,,,,,,,,,,,,,,,,,,
19,Kepulauan Bangka Belitung,"3012,9","82,30","3,30",,,,,,,,,,,,,,,,,,,
21,Kepulauan Riau,"2660,50","82,60","5,10",,,,,,,,,,,,,,,,,,,
31,DKI Jakarta,"2394,60","76,70","2,90",,,,,,,,,,,,,,,,,,,
32,Jawa Barat,"3786,60","87,80","2,10",,,,,,,,,,,,,,,,,,,
33,Jawa Tengah,"2476,80","77,20","3,90",,,,,,,,,,,,,,,,,,,
34,DI Yogyakarta,"2456,70","76,30","3,90",,,,,,,,,,,,,,,,,,,
35,Jawa Timur,"2447,80","77,30","3,70",,,,,,,,,,,,,,,,,,,
36,Banten,"2977,80","75,00","2,70",,,,,,,,,,,,,,,,,,,
51,Bali,"2642,40","81,00","3,90",,,,,,,,,,,,,,,,,,,
52,Nusa Tenggara Barat,"2199,60","78,50","3,40",,,,,,,,,,,,,,,,,,,
53,Nusa Tenggara Timur,"2050,20","71,60","5,30",,,,,,,,,,,,,,,,,,,
61,Kalimantan Barat,"2918,20","79,00","3,10",,,,,,,,,,,,,,,,,,,
62,Kalimantan Tengah,"2908,20","87,10","3,30",,,,,,,,,,,,,,,,,,,
63,Kalimantan Selatan,"3581,10","78,60","1,70",,,,,,,,,,,,,,,,,,,
64,Kalimantan Timur,"3073,70","84,40","2,90",,,,,,,,,,,,,,,,,,,
65,Kalimantan Utara,"2878,70","84,40","3,00",,,,,,,,,,,,,,,,,,,
71,Sulawesi Utara,"4596,10","79,90","2,00",,,,,,,,,,,,,,,,,,,
72,Sulawesi Tengah,"1000,80","81,20","3,80",,,,,,,,,,,,,,,,,,,
73,Sulawesi Selatan,"4234,00","79,40","2,80",,,,,,,,,,,,,,,,,,,
74,Sulawesi Tenggara,"2274,60","86,70","1,50",,,,,,,,,,,,,,,,,,,
75,Gorontalo,"2285,50","86,00","2,90",,,,,,,,,,,,,,,,,,,
76,Sulawesi Barat,"2270,80","81,50","3,30",,,,,,,,,,,,,,,,,,,
81,Maluku,"5307,40","86,80","3,90",,,,,,,,,,,,,,,,,,,
82,Maluku Utara,"3080,30","85,00","4,60",,,,,,,,,,,,,,,,,,,
91,Papua,"2028,30","86,30","3,90",,,,,,,,,,,,,,,,,,,
92,Papua Barat,,"75,80","3,50",,,,,,,,,,,,,,,,,,,
