TANAMAN,JENIS,KODE PROVINSI (BPS),PROVINSI,TAHUN,LUAS PANEN (HA),PRODUKSI (KWINTAL),PRODUKTIVITAS
Bawang Daun,Sayuran,11,ACEH,2021,195.9,12799, 65.33 
Bawang Daun,Sayuran,12,SUMATERA UTARA,2021,1947.52,156324.77, 80.27 
Bawang Daun,Sayuran,13,SUMATERA BARAT,2021,4096.47,441485.05, 107.77 
Bawang Daun,Sayuran,14,RIAU,2021,0.50000001,10, 20.00 
Bawang Daun,Sayuran,15,JAMBI,2021,538.96,44361.03, 82.31 
Bawang Daun,Sayuran,16,SUMATERA SELATAN,2021,392.73,30993.79, 78.92 
Bawang Daun,Sayuran,17,BENGKULU,2021,2164.74,184287.16, 85.13 
Bawang Daun,Sayuran,18,LAMPUNG,2021,644.5,39636.95, 61.50 
Bawang Daun,Sayuran,19,KEPULAUAN BANGKA BELITUNG,2021,76.45,1983.2, 25.94 
Bawang Daun,Sayuran,21,KEPULAUAN RIAU,2021,43.81,2463.88, 56.24 
Bawang Daun,Sayuran,31,DKI JAKARTA,2021,0,0, -   
Bawang Daun,Sayuran,32,JAWA BARAT,2021,11966.75,1670076.7, 139.56 
Bawang Daun,Sayuran,33,JAWA TENGAH,2021,13121.3,1305558.8, 99.50 
Bawang Daun,Sayuran,34,DI YOGYAKARTA,2021,14.5,957, 66.00 
Bawang Daun,Sayuran,35,JAWA TIMUR,2021,9729.2,980085, 100.74 
Bawang Daun,Sayuran,36,BANTEN,2021,48.75,2584.2, 53.01 
Bawang Daun,Sayuran,51,BALI,2021,107,10547, 98.57 
Bawang Daun,Sayuran,52,NUSA TENGGARA BARAT,2021,159.5,21030, 131.85 
Bawang Daun,Sayuran,53,NUSA TENGGARA TIMUR,2021,368.94,21368.1, 57.92 
Bawang Daun,Sayuran,61,KALIMANTAN BARAT,2021,372.2,10088.53, 27.11 
Bawang Daun,Sayuran,62,KALIMANTAN TENGAH,2021,434.57,19544.75, 44.97 
Bawang Daun,Sayuran,63,KALIMANTAN SELATAN,2021,404.4,8083.01, 19.99 
Bawang Daun,Sayuran,64,KALIMANTAN TIMUR,2021,236.51,4261.86, 18.02 
Bawang Daun,Sayuran,65,KALIMANTAN UTARA,2021,197.6,12820, 64.88 
Bawang Daun,Sayuran,71,SULAWESI UTARA,2021,8481.25,814689.7, 96.06 
Bawang Daun,Sayuran,72,SULAWESI TENGAH,2021,560.36,68785.44, 122.75 
Bawang Daun,Sayuran,73,SULAWESI SELATAN,2021,3753.55,382032.91, 101.78 
Bawang Daun,Sayuran,74,SULAWESI TENGGARA,2021,335.75,5084.2, 15.14 
Bawang Daun,Sayuran,75,GORONTALO,2021,13,135, 10.38 
Bawang Daun,Sayuran,76,SULAWESI BARAT,2021,507.5,2456, 4.84 
Bawang Daun,Sayuran,81,MALUKU,2021,110.5,4557, 41.24 
Bawang Daun,Sayuran,82,MALUKU UTARA,2021,215.75,7250.88, 33.61 
Bawang Daun,Sayuran,91,PAPUA BARAT,2021,88.53,1981.56, 22.38 
Bawang Daun,Sayuran,94,PAPUA,2021,348.24,10208.65, 29.31 
Bawang Merah,Sayuran,11,ACEH,2021,1190.46,101356.89, 85.14 
Bawang Merah,Sayuran,12,SUMATERA UTARA,2021,4374.14,539620.6, 123.37 
Bawang Merah,Sayuran,13,SUMATERA BARAT,2021,13871.89,2003655.7, 144.44 
Bawang Merah,Sayuran,14,RIAU,2021,67.15,3294.9, 49.07 
Bawang Merah,Sayuran,15,JAMBI,2021,1784.61,132636.6, 74.32 
Bawang Merah,Sayuran,16,SUMATERA SELATAN,2021,193.75,11245.6, 58.04 
Bawang Merah,Sayuran,17,BENGKULU,2021,175.36,9900.6, 56.46 
Bawang Merah,Sayuran,18,LAMPUNG,2021,227.9,17618.48, 77.31 
Bawang Merah,Sayuran,19,KEPULAUAN BANGKA BELITUNG,2021,24.9,2078.63, 83.48 
Bawang Merah,Sayuran,21,KEPULAUAN RIAU,2021,11.69,332.12, 28.41 
Bawang Merah,Sayuran,31,DKI JAKARTA,2021,1.06,18.8, 17.74 
Bawang Merah,Sayuran,32,JAWA BARAT,2021,15876.7,1706503.3, 107.48 
Bawang Merah,Sayuran,33,JAWA TENGAH,2021,55978.59,5642546.5, 100.80 
Bawang Merah,Sayuran,34,DI YOGYAKARTA,2021,3020.39,298086.64, 98.69 
Bawang Merah,Sayuran,35,JAWA TIMUR,2021,53671.44,5009921.4, 93.34 
Bawang Merah,Sayuran,36,BANTEN,2021,357.36,11895.75, 33.29 
Bawang Merah,Sayuran,51,BALI,2021,1381.65,232151.48, 168.02 
Bawang Merah,Sayuran,52,NUSA TENGGARA BARAT,2021,20314.09,2226197.4, 109.59 
Bawang Merah,Sayuran,53,NUSA TENGGARA TIMUR,2021,1594.15,114299.83, 71.70 
Bawang Merah,Sayuran,61,KALIMANTAN BARAT,2021,54.48,1037, 19.03 
Bawang Merah,Sayuran,62,KALIMANTAN TENGAH,2021,23.55,341.3, 14.49 
Bawang Merah,Sayuran,63,KALIMANTAN SELATAN,2021,72.85,3885.78, 53.34 
Bawang Merah,Sayuran,64,KALIMANTAN TIMUR,2021,32.09,723.51, 22.55 
Bawang Merah,Sayuran,65,KALIMANTAN UTARA,2021,28.2,875, 31.03 
Bawang Merah,Sayuran,71,SULAWESI UTARA,2021,676.2,49859.84, 73.74 
Bawang Merah,Sayuran,72,SULAWESI TENGAH,2021,873.04,46516.49, 53.28 
Bawang Merah,Sayuran,73,SULAWESI SELATAN,2021,17339.85,1832095.5, 105.66 
Bawang Merah,Sayuran,74,SULAWESI TENGGARA,2021,265.59,10152.6, 38.23 
Bawang Merah,Sayuran,75,GORONTALO,2021,73,3463, 47.44 
Bawang Merah,Sayuran,76,SULAWESI BARAT,2021,485.41,6931.13, 14.28 
Bawang Merah,Sayuran,81,MALUKU,2021,223.55,10125.45, 45.29 
Bawang Merah,Sayuran,82,MALUKU UTARA,2021,207.5,12313.7, 59.34 
Bawang Merah,Sayuran,91,PAPUA BARAT,2021,45.96,1184.57, 25.77 
Bawang Merah,Sayuran,94,PAPUA,2021,56.07,3037.84, 54.18 
Bawang Putih,Sayuran,11,ACEH,2021,6,300, 50.00 
Bawang Putih,Sayuran,12,SUMATERA UTARA,2021,160.1,8050.7, 50.29 
Bawang Putih,Sayuran,13,SUMATERA BARAT,2021,188.58,18388.4, 97.51 
Bawang Putih,Sayuran,14,RIAU,2021,0,0, -   
Bawang Putih,Sayuran,15,JAMBI,2021,59,1324, 22.44 
Bawang Putih,Sayuran,16,SUMATERA SELATAN,2021,32,356, 11.13 
Bawang Putih,Sayuran,17,BENGKULU,2021,70.5,2518.7, 35.73 
Bawang Putih,Sayuran,18,LAMPUNG,2021,21,1117, 53.19 
Bawang Putih,Sayuran,19,KEPULAUAN BANGKA BELITUNG,2021,0,0, -   
Bawang Putih,Sayuran,21,KEPULAUAN RIAU,2021,0,0, -   
Bawang Putih,Sayuran,31,DKI JAKARTA,2021,0,0, -   
Bawang Putih,Sayuran,32,JAWA BARAT,2021,107,9632, 90.02 
Bawang Putih,Sayuran,33,JAWA TENGAH,2021,3875.4,255445.5, 65.91 
Bawang Putih,Sayuran,34,DI YOGYAKARTA,2021,0,0, -   
Bawang Putih,Sayuran,35,JAWA TIMUR,2021,812.18,42196.37, 51.95 
Bawang Putih,Sayuran,36,BANTEN,2021,4,6, 1.50 
Bawang Putih,Sayuran,51,BALI,2021,144,10399.2, 72.22 
Bawang Putih,Sayuran,52,NUSA TENGGARA BARAT,2021,1048.5,92234, 87.97 
