"Kode Provinsi 
Kemendagri",Provinsi,Tahun,Alokasi (Ton) ,Realisasi (Ton),Ketercapaian
11,Aceh,2018,"80,687.00","80,684.55",0.999969636
12,Sumatera Utara,2018,"168,732.00","168,726.45",0.999967108
13,Sumatera Barat,2018,"66,943.00","64,421.70",0.962336615
14,Riau,2018,"43,814.00","38,402.95",0.876499521
15,Jambi,2018,"31,564.00","28,377.95",0.899060639
16,Sumatera Selatan,2018,"149,356.00","146,423.90",0.980368382
17,Bengkulu,2018,"21,820.00","21,669.90",0.99312099
18,Lampung,2018,"273,415.00","272,812.95",0.997798036
19,Kep. Bangka Belitung,2018,"26,193.00","26,109.00",0.996793036
21,Kepulauan Riau,2018,90,84.6,0.94
31,DKI Jakarta,2018,40,13.5,0.3375
32,Jawa Barat,2018,"544,532.00","497,390.98",0.913428375
33,Jawa Tengah,2018,"768,603.00","725,792.24",0.944300556
34,D.I. Yogyakarta,2018,"39,000.00","36,728.41",0.941754103
35,Jawa Timur,2018,"1,124,375.00","1,085,002.75",0.964982991
36,Banten,2018,"65,390.00","55,345.15",0.846385533
51,Bali,2018,"37,030.00","36,826.60",0.994507156
52,Nusa Tenggara Barat,2018,"179,815.00","179,726.00",0.999505047
53,Nusa Tenggara Timur,2018,"28,615.00","28,375.50",0.991630264
61,Kalimantan Barat,2018,"39,000.00","35,294.60",0.904989744
62,Kalimantan Tengah,2018,"17,684.00","16,580.25",0.937584822
63,Kalimantan Selatan,2018,"39,539.00","38,882.10",0.983386024
64,Kalimantan Timur,2018,"19,035.00","17,563.35",0.922687155
65,Kalimantan Utara,2018,"1,525.00","1,142.50",0.749180328
71,Sulawesi Utara,2018,"22,467.00","20,753.85",0.923748164
72,Sulawesi Tengah,2018,"37,292.00","37,021.10",0.992735707
73,Sulawesi Selatan,2018,"317,414.00","317,295.50",0.999626671
74,Sulawesi Tenggara,2018,"23,674.00","23,424.00",0.989439892
75,Gorontalo,2018,"37,736.00","37,415.95",0.991518709
76,Sulawesi Barat,2018,"30,640.00","30,640.00",1
81,Maluku,2018,"3,416.00","3,359.55",0.983474824
82,Maluku Utara,2018,"1,301.00","1,010.00",0.776325903
91,Papua,2018,"8,003.00","7,803.90",0.975121829
92,Papua Barat,2018,"1,260.00","1,043.00",0.827777778
11,Aceh,2019,"55,900.00","55,900.00",1
12,Sumatera Utara,2019,"115,750.00","115,745.75",0.999963283
13,Sumatera Barat,2019,"51,000.00","50,873.90",0.997527451
14,Riau,2019,"29,941.00","29,920.85",0.99932701
15,Jambi,2019,"18,700.00","18,692.20",0.999582888
16,Sumatera Selatan,2019,"110,626.00","110,408.10",0.9980303
17,Bengkulu,2019,"18,233.00","18,233.00",1
18,Lampung,2019,"255,377.00","246,901.40",0.96681142
19,Kep. Bangka Belitung,2019,"23,343.00","23,343.00",1
21,Kepulauan Riau,2019,40,39.6,0.99
31,DKI Jakarta,2019,6,5,0.833333333
32,Jawa Barat,2019,"531,043.00","460,263.75",0.866716537
33,Jawa Tengah,2019,"686,293.00","682,609.84",0.994633254
34,D.I. Yogyakarta,2019,"31,290.00","31,289.99",0.99999968
35,Jawa Timur,2019,"1,066,044.00","1,041,285.55",0.976775396
36,Banten,2019,"64,094.00","49,547.70",0.773047399
51,Bali,2019,"31,425.00","31,293.20",0.995805887
52,Nusa Tenggara Barat,2019,"161,234.00","161,029.35",0.998730727
53,Nusa Tenggara Timur,2019,"28,166.00","27,014.50",0.959117376
61,Kalimantan Barat,2019,"21,508.00","21,507.85",0.999993026
62,Kalimantan Tengah,2019,"16,063.00","15,594.90",0.970858495
63,Kalimantan Selatan,2019,"38,469.00","35,122.45",0.913006577
64,Kalimantan Timur,2019,"14,422.00","13,770.15",0.954801692
65,Kalimantan Utara,2019,"1,568.00","1,510.20",0.963137755
71,Sulawesi Utara,2019,"21,506.00","20,129.10",0.935976007
72,Sulawesi Tengah,2019,"34,627.00","34,391.65",0.993203281
73,Sulawesi Selatan,2019,"297,572.00","297,528.60",0.999854153
74,Sulawesi Tenggara,2019,"23,967.00","23,902.00",0.997287938
75,Gorontalo,2019,"34,515.00","34,515.00",1
76,Sulawesi Barat,2019,"29,651.00","29,650.50",0.999983137
81,Maluku,2019,"3,127.00","2,768.10",0.885225456
82,Maluku Utara,2019,"1,018.00",874,0.858546169
91,Papua,2019,"7,482.00","7,153.70",0.956121358
92,Papua Barat,2019,"1,000.00",907.35,0.90735
11,Aceh,2020,"68,960.00","68,960.00",1
12,Sumatera Utara,2020,"148,426.00","144,093.15",0.970808012
13,Sumatera Barat,2020,"62,001.00","61,167.30",0.986553443
14,Riau,2020,"35,277.00","35,061.95",0.99390396
15,Jambi,2020,"29,243.00","29,111.75",0.995511746
16,Sumatera Selatan,2020,"152,103.00","150,644.65",0.990412089
17,Bengkulu,2020,"24,847.00","24,802.75",0.998219101
18,Lampung,2020,"265,796.00","265,697.70",0.999630167
19,Kep. Bangka Belitung,2020,"25,058.00","25,058.00",1
21,Kepulauan Riau,2020,117,117,1
31,DKI Jakarta,2020,8,8,1
32,Jawa Barat,2020,"536,197.00","523,079.76",0.975536529
33,Jawa Tengah,2020,"741,553.00","730,390.86",0.984947617
34,D.I. Yogyakarta,2020,"37,717.00","35,400.32",0.938577299
35,Jawa Timur,2020,"967,612.00","957,599.56",0.989652423
36,Banten,2020,"66,473.00","64,282.75",0.967050532
51,Bali,2020,"38,494.00","35,374.15",0.918952304
52,Nusa Tenggara Barat,2020,"189,553.00","189,087.20",0.99754264
53,Nusa Tenggara Timur,2020,"26,598.00","26,582.20",0.99940597
61,Kalimantan Barat,2020,"35,159.00","34,444.05",0.979665235
62,Kalimantan Tengah,2020,"16,847.00","16,625.25",0.986837419
63,Kalimantan Selatan,2020,"38,882.00","37,078.70",0.953621213
64,Kalimantan Timur,2020,"17,563.00","17,233.25",0.981224734
65,Kalimantan Utara,2020,"2,714.00","2,631.25",0.969509948
71,Sulawesi Utara,2020,"21,456.00","21,332.90",0.994262677
72,Sulawesi Tengah,2020,"38,871.00","38,871.00",1
73,Sulawesi Selatan,2020,"323,010.00","322,719.25",0.999099873
74,Sulawesi Tenggara,2020,"25,522.00","25,522.00",1
75,Gorontalo,2020,"38,814.00","38,814.00",1
76,Sulawesi Barat,2020,"36,891.00","36,791.00",0.997289312
81,Maluku,2020,"3,743.00","3,262.95",0.871747262
82,Maluku Utara,2020,801,785,0.980024969
91,Papua,2020,"8,081.00","7,689.15",0.951509714
92,Papua Barat,2020,"1,080.00","1,077.80",0.997962963
11,Aceh,2021,"76,007.00","73,798.00",0.970936887
