_id,Bulan,satuan,Gabah,Beras Premium,Beras Medium,Beras Lokal,Jagung Pipil,Jagung Giling,Tepung Terigu,Kedelai,Daging Sapi,Daging Ayam Potong,Telur Ayam Ras,Minyak Goreng Curah,Minyak Goreng Kemasan,Gula Pasir,Bawang Merah,Bawang Putih,Cabe Keriting,Cabe Rawit,Ubi Jalar,Ubi Kayu,Tomat ,Kentang,Wortel 
1,Januari,rupiah,4475,12500,11000,10000,7000,9000,7000,10000,125000,36500,26375,13000,15000,12750,37500,34500,25000,42500,8000,4000,10000,18000,20000
2,Februari,rupiah,4475,12875,11500,10250,7000,9500,7500,10000,125000,38125,26843.75,13750,15250,13875,37562.5,56875,35625,55500,8000,3500,15250,19250,17250
3,Maret,rupiah,4475,12406.25,11250,10125,7062.5,8625,7812.5,10000,125000,35125,27250,13500,15750,17750,36875,47187.5,29687.5,43125,7500,3750,17312.5,19812.5,19812.5
4,April,rupiah,4075,12343.75,11187.5,10062.5,7062.5,8750,7875,12000,122500,28250,26875,14000,15875,19000,37625,40000,32187.5,56875,7625,3750,15750,18125,18750
5,Mei,rupiah,3825,12250,11125,10000,7000,9000,8000,12000,125937.5,34437.5,24750,13812.5,15750,17812.5,53437.5,31875,36875,41250,7750,3937.5,15812.5,19750,22000
6,Juni,rupiah,3825,12750,11125,10000,6250,9000,8000,10500,125000,45250,24968.75,14000,16000,15625,53437.5,25312.5,34062.5,37812.5,7812.5,4000,10000,18500,19750
7,Juli,rupiah,3825,12750,11250,10000,6500,8875,8000,10500,125000,41500,27000,14000,16000,13250,35937.5,20687.5,30000,34312.5,7312.5,3250,11875,14625,15437.5
8,Agustus,rupiah,3825,12750,11250,10000,6500,8875,8000,10500,123750,31625,27156.25,14000,15750,13250,30375,21312.5,30625,28125,6750,3000,8312.5,15187.5,14625
9,September,rupiah,3825,12750,11250,10000,6500,8750,8000,10500,121250,29000,25312.5,14000,15875,13250,29250,24187.5,33125,26125,6750,3000,7750,15375,15125
10,Oktober,rupiah,3825,12750,11250,10000,6500,8750,8000,10500,121250,32125,24437.5,14000,15750,13000,33125,24875,34812.5,26875,6750,3000,7750,15500,17125
11,November,rupiah,4075,12500,11000,10000,5750,8500,8250,10000,118750,40375,25875,14000,15750,13000,37687.5,27500,35625,42500,7750,4250,10500,15500,15500
12,Desember,rupiah,4075,12500,11000,10000,5750,8500,8250,10000,118750,35375,27843.75,14000,16000,13000,34875,25875,35312.5,43062.5,7375,4812.5,12000,15750,15750
